ID,name,sku,description,short_description,category_od,brand,cost,price,compare_at_price,currency,quantity,low_stock_threshold,track_quantity,stock_status,weight,length,width,height,material,model,colors,sizes,status,visibility,featured,available_online,supplier_id,supplier_sku,lead_time,minimum_order_quantity,seo_title,seo_description,tags,bar_code,warranty_period,country_of_origin,HSCode,CreatedBy,CreatedAt,UpdatedAt
1,Reach Sneakers,F683CCE6,Source none letter physical include southern memory. Research worker learn spring. Recognize production news manage different ball.,North activity necessary bring fill age offer senior.,18,LG,259.82,451.64,,USD,32,8,True,low_stock,0.391,97.55,60.91,29.41,Leather,kk-23281,"White, Yellow, Green",M,archived,visible,True,True,6,BB45B34F-3,30,1,Reach Sneakers at Best Price,North activity necessary bring fill age offer senior.,"['fashion', 'summer']",C5BCB179-A91,17,USA,400005,5,2023-06-25 17:59:03,2024-07-19 03:17:08
2,Teacher Watch,0068EB29,Arm back for page how. Top center people table.,Current I federal force five.,8,Dell,476.6,601.8,,USD,65,10,True,discontinued,4.361,74.12,83.67,4.29,Glass,dT-55047,"Red, Black","XXL, M, XL",active,hidden,True,True,12,40EE1778-E,29,1,Teacher Watch at Best Price,Current I federal force five.,"['sale', 'trending']",7C422E1C-5AB,19,Vietnam,403070,9,2024-01-04 02:19:39,2025-02-28 14:43:36
3,World Monitor,C9313CD7,On star smile apply decide. Board rate our writer time international. President anything argue morning attorney.,Note theory top worry lot raise.,11,Adidas,34.77,67.43,110.460855753217,USD,71,13,True,discontinued,1.147,53.17,88.49,15.48,Glass,hB-87263,"Yellow, Black, Green",S,active,hidden,False,True,15,72D3EA45-8,22,1,World Monitor at Best Price,Note theory top worry lot raise.,"['fitness', 'gear']",F0B2AFEF-876,15,Italy,396059,7,2025-05-27 13:12:42,2024-08-04 02:11:00
4,Democrat Phone,6A121A53,Media include to baby direction. Color industry us also.,Perform might city property.,9,LG,235.76,295.14,338.421113455775,USD,11,6,True,in_stock,0.627,97.06,91.68,14.6,Rubber,QB-23821,"White, Yellow","S, XL",archived,hidden,True,True,19,F7E90B5B-C,19,1,Democrat Phone at Best Price,Perform might city property.,"['fashion', 'summer']",DDE53CE4-E3F,7,Japan,249968,7,2024-01-01 23:15:28,2025-06-15 07:31:51
5,His Laptop,878F7216,Possible day senior material film buy nature. Action our necessary dog open crime. Good perhaps both activity ten teach contain truth. Woman financial few method analysis matter effort.,Western leader food prepare continue two.,14,Apple,323.11,519.58,538.876191971896,USD,89,6,True,low_stock,2.064,38.42,65.42,18.64,Metal,PA-48583,Red,"XL, M, L",draft,visible,False,True,15,00716502-D,21,1,His Laptop at Best Price,Western leader food prepare continue two.,"['sale', 'trending']",6CE54979-940,13,Japan,194986,2,2024-07-03 13:07:27,2025-02-15 05:24:59
6,Nor Phone,7F7F840B,Actually senior meet pretty project artist. Business marriage increase water. Often message event media present.,Local feeling history nor relationship.,16,Samsung,126.49,262.28,,USD,2,7,True,discontinued,4.526,58.35,70.95,27.03,Cotton,Ud-82832,"White, Green, Yellow","M, L, XXL",archived,visible,False,True,14,DA89AA49-1,18,1,Nor Phone at Best Price,Local feeling history nor relationship.,"['sale', 'trending']",5BFBB8B6-88C,6,India,438287,1,2025-05-04 15:15:33,2025-04-28 21:14:49
7,Worker T-shirt,4852EEEC,Not civil hold executive alone lead. Behavior positive sell poor. Heart listen front education audience work whether could.,Road believe table sea.,20,Samsung,217.57,232.86,272.55944775144,USD,76,10,True,discontinued,1.812,19.08,15.17,28.45,Cotton,aw-96171,"White, Black, Yellow","L, XXL",draft,visible,True,True,16,AA483181-7,16,1,Worker T-shirt at Best Price,Road believe table sea.,"['fashion', 'summer']",C3C63D11-378,10,USA,431544,4,2025-01-06 11:46:31,2024-10-25 17:49:56
8,Again Phone,4310B1E0,Movement entire rise compare far short. Really federal likely hope study something pattern. Event area Mrs author north.,West eat cold political half physical involve.,7,Dell,205.69,329.59,370.586054052516,USD,2,6,True,in_stock,4.952,25.58,94.93,3.2,Plastic,lF-71131,"Yellow, White","L, S",active,hidden,True,True,14,434868B9-0,24,1,Again Phone at Best Price,West eat cold political half physical involve.,"['electronics', 'new']",A19FB9AC-C5B,12,India,450615,9,2025-04-25 17:38:38,2025-03-17 18:44:53
9,Thought Headphones,7FDF33BE,Last close kitchen talk begin decision cup. Need century place group great wind. Ago pull north house wind paper. Power investment suggest Republican computer guy wide.,Piece sound nor news policy.,4,Lenovo,204.04,357,403.267593842324,USD,21,11,True,in_stock,3.454,43.68,74.79,15.22,Glass,bK-71729,Blue,"L, XL",draft,visible,True,True,5,51A74C85-E,26,1,Thought Headphones at Best Price,Piece sound nor news policy.,"['fitness', 'gear']",63727DD7-4AB,15,Germany,881156,8,2024-07-23 03:49:53,2024-07-07 16:56:47
10,Guy Sneakers,9D93F07B,Force land run foreign system grow. Official minute plant he specific tend.,Education form give imagine home.,20,Apple,493.9,554.13,581.406491701165,USD,72,6,True,discontinued,1.423,45.25,84.11,15.22,Plastic,Wa-98849,Yellow,"XXL, M",active,visible,True,True,10,8EE1476F-1,16,1,Guy Sneakers at Best Price,Education form give imagine home.,"['fitness', 'gear']",B4B728A5-A4E,14,Japan,245013,1,2023-08-30 12:31:47,2024-07-04 17:14:51
11,On T-shirt,8BC5FAD5,Bill ball part tend. Certain name old. Happen pull will tell write.,Them describe common cup factor.,5,Lenovo,296.98,344.41,381.28206870724,USD,30,13,True,low_stock,2.34,36.57,38.4,19.57,Plastic,Ka-59245,Black,"XXL, S, XL",archived,visible,True,True,1,81D8A9A3-5,3,1,On T-shirt at Best Price,Them describe common cup factor.,"['sale', 'trending']",E6896B0B-4BD,6,China,922051,4,2024-02-27 07:23:08,2024-10-13 16:24:50
12,Hospital Phone,797E8ADB,Bed pressure skill agree. Help rate enough high skill class. Seven vote PM huge wait.,Stage lot reality of.,6,Lenovo,338.19,457.04,,USD,13,14,True,low_stock,3.782,18.87,81.46,12.02,Wood,Wy-26716,Blue,"XL, L",draft,hidden,False,True,2,30AF9912-3,28,1,Hospital Phone at Best Price,Stage lot reality of.,"['fashion', 'summer']",DCA86059-786,24,India,501579,3,2024-04-16 12:15:05,2025-05-27 09:34:56
13,Be T-shirt,B60E33FF,Left who type hundred out paper service. Imagine energy close form.,Offer Republican decision bag how article feel.,19,Nike,299.01,406.63,,USD,47,14,True,in_stock,1.564,46.88,88.75,12.45,Cotton,aO-28989,"Yellow, Black","XXL, XL, M",archived,hidden,True,True,13,DED51479-D,28,1,Be T-shirt at Best Price,Offer Republican decision bag how article feel.,"['fashion', 'summer']",30967542-D12,12,USA,632523,6,2024-12-24 10:05:27,2024-08-30 19:30:23
14,Always Laptop,A572FD17,Care inside PM above administration office.,Become hot party business.,1,HP,354.82,394.66,408.178079976529,USD,22,10,True,out_of_stock,3.016,32.55,10.3,1.56,Wood,Ar-74351,"Black, Red","M, XL",draft,visible,True,True,16,8664A332-1,9,1,Always Laptop at Best Price,Become hot party business.,"['sale', 'trending']",4FE59FF2-33D,21,Vietnam,674719,1,2025-03-20 17:09:29,2025-02-13 12:14:29
15,Mrs Laptop,4A0A16B7,Expert member one. Site Congress this behavior. Billion husband fight drug sometimes capital. Those church lot.,One bring character information.,11,LG,94.1,243.04,287.506784923932,USD,83,9,True,discontinued,2.912,58.39,83.53,18.37,Glass,Ak-46213,"Blue, Black, Red","XXL, L, M",draft,hidden,False,True,9,FA7121A5-6,20,1,Mrs Laptop at Best Price,One bring character information.,"['electronics', 'new']",6202D5A8-430,6,Japan,591344,2,2024-05-10 19:38:24,2025-04-07 12:25:17
